condition,trial,perturbation,inject_time_s,detect_latency_s,replan_count,outcome,recovery_time_s
A_obstacle,1,inject,-,-,0,goal_rejected,-
A_obstacle,2,inject,-,-,0,goal_rejected,-
A_obstacle,3,inject,-,-,0,goal_rejected,-
A_obstacle,4,inject,-,-,0,goal_rejected,-
A_obstacle,5,inject,-,-,0,goal_rejected,-
A_obstacle,6,inject,-,-,0,goal_rejected,-
A_obstacle,7,inject,-,-,0,goal_rejected,-
A_obstacle,8,inject,-,-,0,goal_rejected,-
A_obstacle,9,inject,-,-,0,goal_rejected,-
A_obstacle,10,inject,-,-,0,goal_rejected,-
B_sensor,1,LiDAR,N/A,N/A,0,goal_rejected,N/A
B_sensor,2,LiDAR,N/A,N/A,0,goal_rejected,N/A
B_sensor,3,LiDAR,N/A,N/A,0,goal_rejected,N/A
B_sensor,4,LiDAR,N/A,N/A,0,goal_rejected,N/A
B_sensor,5,LiDAR,N/A,N/A,0,goal_rejected,N/A
B_sensor,1,Camera,N/A,N/A,0,goal_rejected,N/A
B_sensor,2,Camera,N/A,N/A,0,goal_rejected,N/A
B_sensor,3,Camera,N/A,N/A,0,goal_rejected,N/A
B_sensor,4,Camera,N/A,N/A,0,goal_rejected,N/A
B_sensor,5,Camera,N/A,N/A,0,goal_rejected,N/A
B_sensor,1,LineSensor,N/A,N/A,0,goal_rejected,N/A
B_sensor,2,LineSensor,N/A,N/A,0,goal_rejected,N/A
B_sensor,3,LineSensor,N/A,N/A,0,goal_rejected,N/A
B_sensor,4,LineSensor,N/A,N/A,0,goal_rejected,N/A
B_sensor,5,LineSensor,N/A,N/A,0,goal_rejected,N/A
