sub_exp,trial,trail_type,dist_m,lateral_dev_m,modality,snr_db,trail_lost_all_four,elapsed_s,led_pwm,s0,s1,s2,s3,gas_adc,ambient_pct,switchover_latency_s,continued_following_or_trail_any
A_straight,1,straight,0.0,0.0004,optical,43.78,False,0.36,,2565.1,2597.9,2602.1,2594.1,0.0,0.0,,
A_straight,1,straight,0.1,0.0007,optical,41.46,False,2.66,,2561.6,2597.9,2602.1,2611.6,0.0,0.0,,
A_straight,1,straight,0.2,0.0008,optical,40.56,False,4.05,,2570.7,2597.9,2602.1,2630.3,0.0,0.0,,
A_straight,1,straight,0.3,0.0007,optical,41.2,False,5.19,,2562.1,2597.9,2602.1,2614.8,0.0,0.0,,
A_straight,1,straight,0.4,0.0003,optical,44.69,False,6.27,,2568.2,2597.9,2602.1,2589.6,0.0,0.0,,
A_straight,1,straight,0.5,0.0002,optical,48.07,False,7.34,,2592.8,2597.9,2602.1,2578.6,0.0,0.0,,
A_straight,1,straight,0.6,0.0003,optical,47.92,False,8.43,,2614.6,2597.9,2602.1,2589.5,0.0,0.0,,
A_straight,1,straight,0.7,0.0001,optical,47.98,False,9.53,,2621.3,2597.9,2602.1,2611.3,0.0,0.0,,
A_straight,1,straight,0.8,0.0004,optical,44.19,False,10.6,,2607.7,2597.9,2602.1,2633.8,0.0,0.0,,
A_straight,1,straight,0.9,0.0007,optical,41.27,False,11.71,,2585.6,2597.9,2602.1,2638.0,0.0,0.0,,
A_straight,1,straight,1.0,0.0008,optical,40.64,False,12.8,,2566.2,2597.9,2602.1,2624.7,0.0,0.0,,
A_straight,1,straight,1.1,0.0006,optical,42.51,False,13.9,,2562.1,2597.9,2602.1,2602.1,0.0,0.0,,
A_straight,1,straight,1.2,0.0001,optical,46.82,False,14.98,,2578.2,2597.9,2602.1,2581.7,0.0,0.0,,
A_straight,1,straight,1.3,0.0003,optical,48.0,False,16.05,,2604.6,2597.9,2602.1,2581.6,0.0,0.0,,
A_straight,1,straight,1.4,0.0002,optical,48.15,False,17.12,,2621.0,2597.9,2602.1,2603.7,0.0,0.0,,
A_straight,1,straight,1.5,0.0002,optical,45.84,False,18.21,,2614.8,2597.9,2602.1,2627.4,0.0,0.0,,
A_straight,1,straight,1.6,0.0007,optical,41.74,False,19.28,,2590.8,2597.9,2602.1,2638.6,0.0,0.0,,
A_straight,1,straight,1.7,0.0008,optical,40.59,False,20.36,,2567.4,2597.9,2602.1,2626.6,0.0,0.0,,
