sub_exp,trial,trail_type,dist_m,lateral_dev_m,modality,snr_db,trail_lost_all_four,elapsed_s,led_pwm,s0,s1,s2,s3,gas_adc,ambient_pct,switchover_latency_s,continued_following_or_trail_any
A_straight,1,straight,0.0,0.0002,optical,45.71,False,0.02,,2614.3,2597.9,2602.1,2628.0,0.0,0.0,,
A_straight,1,straight,0.1,0.0002,optical,48.1,False,1.7,,2596.4,2597.9,2602.1,2579.0,0.0,0.0,,
A_straight,1,straight,0.2,0.0003,optical,47.97,False,2.78,,2617.1,2597.9,2602.1,2593.1,0.0,0.0,,
A_straight,1,straight,0.3,0.0,optical,47.27,False,3.86,,2619.5,2597.9,2602.1,2619.2,0.0,0.0,,
A_straight,1,straight,0.4,0.0005,optical,43.17,False,4.95,,2602.0,2597.9,2602.1,2636.7,0.0,0.0,,
A_straight,1,straight,0.5,0.0008,optical,40.65,False,6.02,,2575.1,2597.9,2602.1,2633.7,0.0,0.0,,
A_straight,1,straight,0.6,0.0007,optical,41.56,False,7.09,,2561.5,2597.9,2602.1,2610.6,0.0,0.0,,
A_straight,1,straight,0.7,0.0003,optical,45.21,False,8.17,,2570.2,2597.9,2602.1,2587.4,0.0,0.0,,
A_straight,1,straight,0.8,0.0002,optical,48.1,False,9.25,,2594.9,2597.9,2602.1,2578.8,0.0,0.0,,
A_straight,1,straight,0.9,0.0003,optical,47.98,False,10.32,,2617.3,2597.9,2602.1,2593.3,0.0,0.0,,
A_straight,1,straight,1.0,0.0001,optical,47.01,False,11.39,,2618.7,2597.9,2602.1,2621.0,0.0,0.0,,
A_straight,1,straight,1.1,0.0006,optical,42.56,False,12.46,,2597.8,2597.9,2602.1,2637.9,0.0,0.0,,
A_straight,1,straight,1.2,0.0008,optical,40.6,False,13.54,,2573.1,2597.9,2602.1,2632.4,0.0,0.0,,
A_straight,1,straight,1.3,0.0007,optical,41.83,False,14.61,,2561.4,2597.9,2602.1,2607.9,0.0,0.0,,
A_straight,1,straight,1.4,0.0002,optical,46.09,False,15.68,,2574.1,2597.9,2602.1,2584.1,0.0,0.0,,
A_straight,1,straight,1.5,0.0003,optical,48.05,False,16.74,,2602.0,2597.9,2602.1,2580.5,0.0,0.0,,
A_straight,1,straight,1.6,0.0002,optical,48.12,False,17.81,,2620.3,2597.9,2602.1,2600.5,0.0,0.0,,
A_straight,1,straight,1.7,0.0002,optical,45.91,False,18.88,,2615.1,2597.9,2602.1,2627.0,0.0,0.0,,
A_straight,1,straight,1.8,0.0007,optical,41.68,False,19.95,,2590.2,2597.9,2602.1,2638.5,0.0,0.0,,
A_straight,1,straight,1.9,0.0008,optical,40.59,False,21.03,,2567.5,2597.9,2602.1,2626.6,0.0,0.0,,
