trial,landmark_id,gt_x,gt_y,est_x,est_y,error_m,coverage_pct
1,0,1.0,0.0,1.0552,-0.0192,0.0585,98.8
1,1,1.0,2.0,1.0271,1.9674,0.0424,99.64
1,2,0.0,2.0,-0.0311,1.9033,0.1016,97.13
1,3,2.0,2.0,2.0393,2.0512,0.0645,97.78
2,0,1.0,0.0,1.0065,0.0157,0.017,96.31
2,1,1.0,2.0,1.0224,1.9279,0.0755,98.46
2,2,0.0,2.0,0.0145,2.0194,0.0242,98.45
2,3,2.0,2.0,1.9042,1.9825,0.0974,99.74
3,0,1.0,0.0,0.9144,-0.0298,0.0906,99.72
3,1,1.0,2.0,1.0866,1.9464,0.1019,96.03
3,2,0.0,2.0,0.0077,2.0961,0.0964,99.79
3,3,2.0,2.0,1.9071,2.0469,0.104,95.86
4,0,1.0,0.0,1.0415,-0.0964,0.105,96.38
4,1,1.0,2.0,1.0418,2.078,0.0886,97.8
4,2,0.0,2.0,-0.0253,1.9305,0.0739,95.8
4,3,2.0,2.0,1.9858,2.0612,0.0628,96.63
5,0,1.0,0.0,1.0577,-0.0844,0.1022,97.82
5,1,1.0,2.0,1.0121,2.0062,0.0136,96.37
5,2,0.0,2.0,-0.0337,1.9425,0.0666,96.84
5,3,2.0,2.0,2.0707,1.9691,0.0772,95.75
6,0,1.0,0.0,0.9646,0.004,0.0356,95.6
6,1,1.0,2.0,0.9806,2.0616,0.0646,97.91
6,2,0.0,2.0,0.0403,1.9966,0.0405,96.16
6,3,2.0,2.0,1.9347,2.0564,0.0863,96.57
7,0,1.0,0.0,0.9641,0.0148,0.0388,99.92
7,1,1.0,2.0,1.0909,2.0499,0.1038,95.76
7,2,0.0,2.0,0.0832,2.092,0.124,98.29
7,3,2.0,2.0,2.0875,1.9099,0.1256,97.0
8,0,1.0,0.0,1.0324,0.0978,0.103,99.41
8,1,1.0,2.0,0.9925,2.0411,0.0418,97.6
8,2,0.0,2.0,-0.089,2.0797,0.1194,97.2
8,3,2.0,2.0,2.0336,2.0699,0.0776,96.84
9,0,1.0,0.0,1.0123,-0.0332,0.0354,95.83
9,1,1.0,2.0,1.0171,2.0775,0.0794,99.57
9,2,0.0,2.0,0.0039,1.9869,0.0136,95.2
9,3,2.0,2.0,2.0817,2.0658,0.1049,96.54
10,0,1.0,0.0,0.9069,-0.0359,0.0998,99.48
10,1,1.0,2.0,0.9276,1.9966,0.0725,96.83
10,2,0.0,2.0,0.0828,2.0511,0.0973,96.83
10,3,2.0,2.0,1.9577,1.9806,0.0465,99.66
ALL,RMSE,-,-,-,-,0.0806,-
